Title,Artist,Preview URL,BPM,BPM Confidence (%),Key,Key Confidence (%),Energy (%),Danceability (%),Acousticness (%),Brightness (Hz),Time Signature,Valence (%),Mood,Loudness (dB),Dynamic Range (dB),Silence Ratio (%),Analysis Duration (s),Analyzed At
4ever,The Veronicas,audiodata://The Veronicas/4ever,143.555,69.6,F Major,15.3,58.8,68.0,41.5,2340.7,4/4,86.8,energetic,-9.38,14.65,2.17,1.14,2025-11-12 03:23:01
3AM,Matchbox Twenty,audiodata://Matchbox Twenty/3AM,107.666,62.1,G# Major,15.5,51.1,64.8,49.9,2003.3,4/4,65.2,happy,-12.42,23.0,3.56,1.06,2025-11-12 03:22:59
2 Be Loved (Am I Ready),Lizzo,audiodata://Lizzo/2 Be Loved (Am I Ready),151.999,67.4,G Minor,10.1,71.0,73.7,37.5,2500.1,4/4,59.2,neutral,-13.61,19.58,4.64,1.05,2025-11-12 03:22:58
1 Thing,Amerie,audiodata://Amerie/1 Thing,103.359,50.8,C Minor,11.5,60.5,73.0,20.3,3189.6,4/4,37.1,neutral,-9.54,14.8,0.39,1.14,2025-11-12 03:22:57
(You Drive Me) Crazy,Britney Spears,audiodata://Britney Spears/(You Drive Me) Crazy,99.384,73.6,G Major,10.6,64.1,73.2,36.5,2539.8,4/4,67.8,happy,-10.22,13.36,1.7,1.09,2025-11-12 03:22:56
(Lover) You Don't Treat Me No Good,D. Pritzker/Sonia Dada,audiodata://D. Pritzker/Sonia Dada/(Lover) You Don't Treat Me No Good,112.347,68.9,B Minor,10.7,57.1,72.0,37.1,2514.3,4/4,36.4,neutral,-24.84,78.46,20.67,0.97,2025-11-12 03:22:55
(I'm) Stranded - 2004 Remaster,The Saints,audiodata://The Saints/(I'm) Stranded - 2004 Remaster,172.266,65.9,F# Major,13.2,57.5,73.1,35.7,2574.0,4/4,86.5,energetic,-4.03,3.85,0.85,1.1,2025-11-12 03:22:54
(Baby I've Got You) On My Mind,Powderfinger,audiodata://Powderfinger/(Baby I've Got You) On My Mind,99.384,50.6,A# Major,12.8,43.0,63.7,51.1,1957.9,4/4,63.6,neutral,-16.61,18.46,3.87,1.12,2025-11-12 03:22:53
...Baby One More Time,Britney Spears,audiodata://Britney Spears/...Baby One More Time,92.285,70.9,C Major,12.4,59.6,67.2,31.6,2735.9,4/4,66.9,happy,-23.5,35.39,7.2,1.09,2025-11-12 03:22:51
! (The Song Formerly Known As),Regurgitator,audiodata://Regurgitator/! (The Song Formerly Known As),117.454,60.7,C# Major,9.7,59.2,73.6,29.5,2818.8,4/4,66.8,happy,-14.85,20.11,4.49,1.07,2025-11-12 03:22:50
